RetiredSpotlights,0,8,"@TricolorStar For LoL, Riot are kind enough to provide me with a script since Kayn (All prior to Kayn were hand typed)

For LoR, I submit the audio to Google Cloud Speed to Text and do a manual listen pass on slightly lower ""Confidence"" %, but future I will listen to them all to double check"
部品（本田翼）,2,6,"グーグルのクラウド事業が売上高1兆円に、先行くAWSは「あれ」が1兆円 https://t.co/1YPq76C7DH

「AWSは巨大なクラウド事業を支えるために、Google Cloudの年間売上高を上回る設備投資をしているのだ。」

これが規模の経済ってやつか・・・"
バサロ,0,3,機械学習で、３台のパソコンフル回転。　そろそろ、Google Cloudの出番かな、、
OnixHealth,1,2,"We’re excited to participate in Google Cloud Genomic Day tomorrow in DC!

@OnixHealth's @RareSeas will discuss how we and @GoogleCloud enable #genomics research and support grant-based research by leveraging the power of @GCPcloud.

https://t.co/wkn4k4XTnL https://t.co/U1PHygIIuK"
Leonard Lin,0,2,"LMAO, I did that too. Turned off my C3s and RDS instances.

If I apply to Google Cloud and they turn me down... guess I'll have to migrate to Digital Ocean. ¯\_(ツ)_/¯ https://t.co/0x0GqHWkov"
Marian Sherman,0,2,"Get Access Hands-on Serverless Computing with Google Cloud Platform: Build, deploy, and containerize applications using Cloud Functions and cloud-native technologies -&gt; https://t.co/ofP1ePpn8J"
Big Boobie Sosa🏁🐍,2,1,"Azure, AWS, Google Cloud. Pick one and learn it. IT is going to the cloud. Don’t get left behind. A lot of companies are getting rid of on premise administration."
_rulox,0,1,I got Google Cloud Certified! I have what it takes to leverage @GoogleCloud technology https://t.co/r2eu6vRMc1 | https://t.co/Wd6pUVX32b via @accredible
Christian Plata,1,1,"Amigos, los esperamos el Jueves en Medellín, Google Cloud será parte del próximo #SAPNOWMedellín! https://t.co/vZzQHvt6Ho"
Param Aggarwal,0,1,Cloudflare is not stopping here. Their work on the Workers platform is very similar to AWS Lambda/ Google Cloud Functions - but at the edge! https://t.co/KZWLRJlPKf
Convergência Digital,1,1,Google Cloud libera acesso a recursos na nuvem por conta do COVID-19 https://t.co/qva9yp9rJz
joshua spanier,0,1,#MLB Swings to Google Cloud for Data and Analytics https://t.co/TTEEWr0ZZu #GoogleCloud
Geeky Sharma,0,1,"Google Cloud Next Cancel हुआ भी और नहीं भी ।

https://t.co/L9DOgl1d72"
Will Grannis,0,1,ICYMI: Great read from @TechCrunch on what Thomas has achieved in his first year at Google Cloud. https://t.co/Tklrp9HSXM
Carsten Peters,1,1,"Next ’20: Flug und Hotel habe ich – dank Corona – stornieren müssen. Die Next ’20 findet trotzdem statt: nicht mehr in San Francisco, sondern in meinem Büro...

Google Cloud Next ’20 | April 6-8 https://t.co/zeCpt1wBD2"
PIT Sistemas,0,1,Google Cloud https://t.co/TWsMPwlXY8
Cloud Wars by @TheCloudNetwork ☁️,1,1,MLB Swings From Amazon’s AWS to Google Cloud for Knowledge and Analytics - https://t.co/VWFSJAtDx3 #CloudWars #CloudComputing #Cloud #AWS #Google
Cloud Wars by @TheCloudNetwork ☁️,0,1,"Google Cloud Hits Major League Baseball Home Run, AWS Is Out -- Virtualization Review https://t.co/QrNPdw6NMq #CloudWars #CloudComputing #Cloud #AWS #Google"
Puritan Pine,2,0,"RT @BuddyNoLove: Azure, AWS, Google Cloud. Pick one and learn it. IT is going to the cloud. Don’t get left behind. A lot of companies are g…"
kai,0,0,iCloud untuk my Apple Ecosystem. Outlook Cloud untuk kerja. Google Cloud (yang 50GB free tu) untuk benda merepek and to entertain hardcore gmail user.
Slim Thick Reaper,2,0,"RT @BuddyNoLove: Azure, AWS, Google Cloud. Pick one and learn it. IT is going to the cloud. Don’t get left behind. A lot of companies are g…"
Lakewood Citizen,1,0,"RT @OnixHealth: We’re excited to participate in Google Cloud Genomic Day tomorrow in DC!

@OnixHealth's @RareSeas will discuss how we and @…"
Chris Carter,0,0,MLB Swings From Amazon’s AWS to Google Cloud for Data and Analytics | https://t.co/QEGs7u0pE5 @Variety
LarvaeSoft®,0,0,"OnInsecurity Thank you for waiting. We are transforming the event into Google Cloud Next ’20: Digital Connect, a free, global, digital-first, multi-day event, so there's no need to invest in additional resources. Find information on recording and broadcasting here …"
Reynaldo Barros,0,0,Google Cloud Next é cancelado por conta da epidemia de COVID-2019 https://t.co/s21NnoXKn0
SiliconRepublic,0,0,"#MostRead today: “Looker will strengthen Google Cloud’s analytics and data warehouse capabilities,” the company said 
https://t.co/YC7c4e8WbC"
Google Cloud,0,0,"@OnInsecurity Thank you for waiting. We are transforming the event into Google Cloud Next ’20: Digital Connect, a free, global, digital-first, multi-day event, so there's no need to invest in additional resources. Find information on recording and broadcasting here https://t.co/zztQd4MZQv. -BI"
David Wendell,0,0,MLB Swings From Amazon’s AWS to Google Cloud for Data and Analytics https://t.co/42HabQpTPP via @variety
ADS Business Intel,0,0,"Top cloud providers in 2020: AWS, Microsoft Azure, and Google Cloud, hybrid, SaaS players https://t.co/MnHjB3Wfdp"
Diego Sucaria,0,0,"Hoy estuve dando la segunda sesión de un workshop de Google Cloud.

Creo que salió todo bien 😁"
