Threatpost,14,13,"A #phishing campaign leveraged #Microsoft OneNote to bypass detection tools and download the Agent Tesla malware onto victims’ systems.
https://t.co/8RKS9t97Fi"
The CrapGamer,2,13,"@GamezzzXbox @JayDubcity16 Microsoft refuses to get anything for their fans, early, timed ect.
Ya'll hyping Honey I Shrunk The Game, meanwhile Sony is over here putting out AAA games still and locking down timed content left and right. Those are reasons to buy a console in the first place."
⬡LinkFather⬡,2,13,"""The Baseline Protocol has already brought together more than a dozen companies and organizations that will form its technical steering committee (TSC), including #ConsenSys, #EY, #Microsoft, #AMD, #ChainLink, #CoreConvergence, .....(1/2)"
BleepingComputer,6,12,"Microsoft Releases PowerShell 7.0 With New Features, Update Alerts - by @serghei
https://t.co/DCtCFTXYIW"
Ezra Mechaber,3,11,"If you believe email development is not ""real"" coding, I invite you to spend five minutes trying to understand Microsoft Word's HTML rendering engine, which powers ~10% of the market (including Outlook *2019*). https://t.co/ToUZQNrQxC"
Lina Dencik,2,11,Danish diplomat is now in charge of EU governmental affairs for Microsoft. Is anyone keeping tabs of revolving door between European government/policy-makers/regulators and Silicon Valley? I know it’s a very active door but is there a record?  https://t.co/8pRXAXIKkJ
Chief Fausto Pichardo,1,11,"Great partnership between our officers &amp; commmunity partners working with our youth to continue to build relationships &amp; teach them life skills.

Our officers were at Microsoft HQ with students from #Brooklyn, teaching them how to build a business plan. https://t.co/O5Es7qJtnZ"
o0 xiam o0,3,11,"#sony va mourir
#Microsoft va mourir
#Nintendo va mourir

Elle n'a pas de jeu.
Elle est moins puissante
C'est moche sur un affichage TV
Il n'y a que des portages
Il n'y a que des remasters
Il n'y a pas d'exclusivité

Tel est le langage d'un #fanboy
Un #fanboy n'est pas un joueur. https://t.co/xJ8LCI67az"
Digital Trends,4,11,Tired of Twitch? Here’s how to stream on @Microsoft’s Mixer https://t.co/SUvWHGzVYO
Microsoft Ireland,2,11,"Looking forward to #BigLifeFix on @rte tonight at 9:35pm where @nstockil from our engineering team in Microsoft Ireland works with a group of leading designers, engineers, computer programmers &amp; technology experts to create inventions that will transform people's lives. https://t.co/eXn2KDrivC"
Sudhakar Sannakkayala,4,10,"Excited to welcome #postgresql committers to #MicrosoftAzure and @AzureDBPostgres.  Welcome to #Microsoft @AndresFreundTec, @MengTangmu, and Jeff!

https://t.co/o73LUwTSoP"
Hunter DeRensis,5,10,"“Bloomberg, the evil brother of the talking paper clip from Microsoft Word...”

The worst part of Michael Bloomberg departing the race is there will be no more one-line takedowns from Matt Purple in @amconmag. https://t.co/dHkgJ4Oz5S"
Olayemi 🇳🇬,4,10,"2019 Richest man:

1 Mark Zuckerberg(U.S.)

2 Larry Ellison(U.S.)

3 Amancio Ortega(Spain)

4 Carlos Slim Helu &amp; family(Mexico)

5 Bernard Arnault &amp; family(France)

6 Warren Buffett(U.S.)

7 Bill Gates(U.S.) Co-founder, Microsoft.

8 Jeff Bezos &amp; family(U.S.)CEO, Amazon.

Forbes"
Minecraft: Education Edition,3,9,"Learn the ways that #MinecraftEdu can support #ComputerScience learning. Building Blocks of #Code is a free online course on the #MicrosoftEdu Educator Center that introduces the basics of teaching CS through game-based learning.
Start the course here: https://t.co/J8fZWfW0Lt https://t.co/QDz6dxjRhW"
Tim Warner,5,9,Everyone who works with Microsoft Cloud Platform products should read this. Let me know what you think! | 670+ Subdomains of Microsoft are Vulnerable to Takeover |  VULLNERABILITY https://t.co/Mo9ab7D7pi
MSPoweruser,3,9,"Microsoft announces PowerShell 7, the latest major update to PowerShell - https://t.co/cdaYxmxTy6 https://t.co/jfk9ohDBWl"
MSPoweruser,1,9,Microsoft Complete: Is it worth the money - https://t.co/qvjMveCl77 https://t.co/KtCNaDOtHW
Chainlink en español - Spain Advocate,0,8,"1/ #Chainlink se enorgullece de formar parte del comité directivo técnico del Protocolo Baseline (@baselineproto ), una iniciativa liderada por @EYnews y @Consensys en colaboración con Microsoft. Construiremos soluciones de oráculos para hacer compatible (...) https://t.co/cwmOmR5Ps0"
TudoCelular,1,8,"Será que vai fazer falta? 🤔 #Microsoft #Windows10 
https://t.co/vSCknhgATD"
Simon Dueckert,5,8,Link-Tipp: Corona: Google und Microsoft verschenken ihre Konferenz-Tools https://t.co/nwh5TTEyRu
Pep,2,8,"Beginner developers, take note: when taking in and displaying arbitrary text, never assume what you'll get will always be logically sound lol

(To be fair, this is more the Seattle Times' fault than it is Microsoft's)
https://t.co/BO93Nf1dmL"
Facultad FilosofíaUP,4,8,Mañana @anavictoria_mdc (Gen. 19) hablará en @Microsoft sobre Ética de la inteligencia artificial. Para @CMinds_co. https://t.co/MM4x9KcPEg
Spartan 412,0,8,"@Battlefield @PartWelsh Sometimes I wish Microsoft let me keep my auto generated gamer tag,

RisingSausage9"
W3BCLOUD,4,7,🚀2020 is the year of driving #Ethereum #Mainnet adoption for #Enterprises with the launch of the #Baseline Protocol. Excited to work w/ JV partners @AMD &amp; @Consensys plus @EYNews @Microsoft @splunk @MakerDAO @UnibrightIO &amp; more 🙌⚡️ https://t.co/vzQ5r1fvRf #baselineprotocol
Ghada Hassan,0,7,Finally🥇🥇 I'm officially a wakelet ambassador 👩‍💻on this wave.🌊🌊Thank you Microsoft in my Country 🇪🇬Egypt 🇪🇬@wakelet @JBDbiz @maudamohamed @SanaHamdi16 @WakeletSupport @Cnight97 @kyteijas @MicrosoftEgypt @nassef_m @nelly_hamed @nevineasfour https://t.co/1wnhiDqRv1 https://t.co/X9p0qWIYvC
VOXEL,0,7,"Durante esta semana, será possível encontrar descontos de até 75% em diversos serviços e jogos para Xbox One na plataforma digital da Microsoft. #voxel https://t.co/5HvKURTeUU"
Guillermo Catalano,1,7,Nitro Office: alternativa gratuita a Microsoft Office para Windows 10 #fielinks https://t.co/Fl0PatMupm
Rafał Hryniewski,0,7,Pojawiam się obok @maniserowicz  na slajdach Kamila Mijacza w sekcji „znam” wiec czuje awans społeczny :) A nasz kochany Kamil Mijacz otwiera dzisiejsze spotkanie Microsoft Azure User Group Poland w Białymstoku i opowie nam o cloud native i DAPR. https://t.co/eJlTNtZ6ct
MPARRAS,2,6,Pues un Carrefour que vive al día y vende lo único físico que lleva haciendo Microsoft los últimos 4 años. https://t.co/vWhiKR0p7Q
The CrapGamer,3,6,Sony Upgrading The PS5 To Beat Microsoft Next Generation!? New Leaks Are... https://t.co/SgbaDnuxdY via @YouTube
GabrielWars,0,6,"@siralysson Pode anotar, printar, etc...A Microsoft será a referência em RPGs na próxima geração."
The Microsoft Garage,2,6,"Congrats to the Winter 2020 @MicrosoftVan Garage Intern team for their contribution to this @MSFTGarage project on the heels of the original release with support for the @Adafruit Circuit Playground Express #CircuitPython 

Check out the backstory here: https://t.co/z3GiKCX5QF https://t.co/w5R1dq6wEf"
Adrià Artigas,0,6,Microsoft acaba de responderme al tema de la jarra y el cañon que me quitaron en Etsy. Todavia hay esperanza! Crucemos los dedos... 🤞
Racheal Johnson,0,6,Saddest Microsoft Teams meeting ever? 😢 https://t.co/6AjClCXK5w
Nik Carter,0,6,Oh cool! I didn’t have all day to wait around for #SPAM to call me! What do you think? Is it “you owe back taxes the IRS will send a sheriff to arrest you if you hang up“? Or “this is Microsoft customer Center calling about your home computer”. I@get every scam call imaginable https://t.co/dlUOsspa9a
Hansel🇳🇬,6,6,"with relevant quality work experience in Finance or audit firms

• Any 1st degree, preferably with ACA/CPA

• Candidate with addiction to new Finance tools and technologically savvy

• Proficiency with Microsoft Office package, particularly Excel, Word and Power Point;

•"
Tracy v/d Schyff #NotLiz #MVP #Office365 #MSIgnite,3,6,People are afraid that robots will take their jobs. I cannot wait. I’m SO over doing the same things over and over. #Microsoft #PowerAutomate gives end users the ability to automate tasks for themselves. Let’s get started.  https://t.co/aizUw7w0sY
AnsgarJahns,4,6,"#Corona 
Microsoft teilte mit, die Premium Version von Teams sei ab sofort für sechs Monate kostenlos verfügbar. Im Gegensatz zur Standardversion ist damit das Aufnehmen von Meetings möglich und ein Terabyte Speicherplatz steht zur Verfügung. https://t.co/AIeceusLa8"
CareerAid,6,6,"If you need a Resume template please make use of Microsoft Word templates. They are very current, easy to use and you don't need to pay anything."
Giuseppe Strazzeri,3,6,"Da genitore 1 di famiglia in cui il genitore 2 lavora tanto quanto, inizio a nutrire una vaga preoccupazione per il proliferare di videoconferenze, Dropbox file e download da Microsoft Share Point per la continuità didattica dei pupi a discapito della sopravvivenza degli adulti."
DrWindows,1,6,Microsoft Authenticator: Ausblick auf die neue Version https://t.co/nlAX9UTIHE
Jason Waskey 🔜SXSW?,0,6,"Recorded at Metastage in LA.
Reppin’ the Microsoft tech stack! 🤓

(I get excited about the weirdest stuff these days)
@MSFTVolumetric https://t.co/0aUvKSpUNh"
UniBrightGod.eth,1,6,"@Consensys @Dhammanthebeach @Forbes @baselineproto @UnibrightIO @chainlink @EYnews @Microsoft @biserdimitrov So happy to be on this train, as I missed the link ""bus"" 😇"
Microsoft Office,1,5,"Good luck to @CSNCoyote's Tyler Guthrie representing Nevada at the Microsoft Office Specialist U.S. National Championship. We're rooting for you, Tyler! You've got the winning formula! 📈 https://t.co/PFWhwdesHd"
Alvar C.H. Freude,2,5,"Warum zum Henker läuft ein Web- oder E-Mail-Server mit SYSTEM-Rechten? Heutzutage sollte doch jeder Anfänger wissen, dass man Server-Dienste nur mit niedrigsten User-Rechten laufen lässt:  https://t.co/eJh6aNIeu3
#Microsoft #Exchange Remote Code Execution #RCE"
Hayden Barnes,0,5,"#WSLConf went from a in-person conference to a virtual event in &lt;48 hours. Would not be possible without hard work by @biankaroy_, @dickinsonsarah7, @Canonical &amp; @Microsoft staff, support of @m_wimpress, @thibautR &amp; @dhenrichsmeyer, flexible presenters &amp; WSL community. https://t.co/zKJfLeSCu4"
RSN | WireMan 🗻⛰️🎴,1,5,"7. @aliciaxlife_ and @JakyoManor representing at the Microsoft Women in Gaming celebration:
https://t.co/b3huW3HASB"
Kaitain 🇺🇸,0,5,"JFC, why wasn’t this information siloed?  I’ve seen better security at Microsoft when it came to siloing. https://t.co/yIeFcveeKh"
Chris Jackson,3,5,"Privacy is something we're obsessing about in the new Microsoft Edge. This article explores some of the settings we have today:

https://t.co/N2lemoJZp0"
Distinguished Linkgentleman,1,5,"@jwolpert @DeptofDefense @DLAMIL may want to reach out to @jwolpert, @Microsoft or anyone else working on this project to help with their initiative. https://t.co/Jh9qg9VVr0"
Per Larsen #MSFT #MSIntune,5,5,"What's new in Microsoft Intune - Week of March 2, 2020 #MSIntune
- Bulk remote actions : remote actions: restart, rename, Autopilot reset, sync, wipe, and delete. To see the new bulk actions
- Company Portal app installation status messages for Win32 apps
https://t.co/zhSBx7y2KI"
OptomaUSA,3,5,"It's never too early to plan your living room for next-generation Sony Playstation 5 and Microsoft Xbox Series X. The latest Optoma GT1090HDR and HZ39HDR pack over 4,000 ANSI lumens of brightness, 1080p native resolution, DuraCore Laser light source and 4K UHD input. https://t.co/pv5V3akBPu"
Georrick Austin,2,5,S/O to @GiveCampMemphis 2020 Sponsors: @VacoMemphis @TelarrayAdvisor @FedexInstitute @balsamiq @_CodeCrew @TheSeam @Microsoft @AIGAdesign 🎉 https://t.co/6Bz0rpX6PT
Office 365 Ninjas,0,5,"Update to the Microsoft Authenticator app now rolling out, improves personal Microsoft accounts experience https://t.co/aX0kqVBxfG https://t.co/vd8pGtxKNO"
The Trails/Kiseki guy,0,5,"You love Playstation? Great!
They're the goats of gaming? Hmmmm partly.
Joint Goats with Microsoft and Nintendo 💯🔥🔥🔥 https://t.co/DmsvX5tkRd"
Mark Hachman,2,5,"Microsoft has essentially finished Windows 10 20H1 (version 2004, April 2020 Update?). After just bug fixes for a month or two, it's ripe for a review. Here it is:

https://t.co/jtGOWkqf7u"
Mio,1,5,"In Summer 2020, #Microsoft announced Skype for Business Online retirement. 

Read what @patrickwatson77 from @CavellGroup, @tomarbuthnot from @modalitysystems, @ChristopherIsak from @TechAcuteCom, @jonoatwork from @CiscoCollab &amp; @randychapman had to say.

https://t.co/g5yRsombC6"
Chiron,0,4,Improve your team’s efficiency by using #Microsoft #Teams. Team members can tailor workspaces with content and apps they need every day. They can add tabs like a Word document to provide quick access. Or add apps like Jira to bring relevant information into your hub for teamwork. https://t.co/8upCZxoc1N
Kevin Marquette,2,4,Microsoft's #PowerShell 7 is generally available | ZDNet https://t.co/ryOYdiewde
PC Games Hardware,1,4,"Softwareentwickler bei Microsoft haben ein neues Startmenü gezeigt, das weniger bunt ist und wohl auf Live-Kacheln verzichtet. #hardware #gaming https://t.co/zmruzdB7OA"
BDubs,2,4,"“Saw Baron playing this video game. Fantastic graphics. Ppl look real! Microsoft: great American company. Bill Gates: balding. Emperor guy was outstanding. Having a great time. Fantastic policies, making the Empire great again. Kidding Democrats! What’s a youngling?”
#TrumpOnFilm https://t.co/kRZfwtx3Su"
Libby Brown,0,4,"He's right, it's really cool. More importantly, the updates in Microsoft Authenticator make it so much easier to keep your personal Microsoft account up to date and secure. https://t.co/UeaZFGSbQ0"
Integrated Marketing Platform,0,4,"#Cortana reborn: #Microsoft's digital assistant becomes less about #Alexa, more a productivity app

#IntegratedMarketingPlatform #Canada #UnitedStates https://t.co/ALNX1t6xKl"
Digital Trends,5,4,Surface Neo: Everything you need to know about @Microsoft’s first dual-screen PC https://t.co/4eRbMzJLAu
DrWindows,0,4,PowerShell: Microsoft veröffentlicht Version 7.0 als neues Major Release https://t.co/T7Qywr7GNr
Aaron K.,0,4,"""My name is Jen Gentleman, and I'm the *only* Gentleman at Microsoft!"" #sublime 😂

@JenMsft love it!"
Shygelia,1,4,"Bonne chance pour boycotte Amazon, Apple, Google et Microsoft en même temps https://t.co/DzkZF8MLIs"
Christophe Fiessinger,3,4,Automated investigation and response (AIR) in Office 365 - Office 365 | Microsoft Docs https://t.co/jblcFb9jcK
WinFuture.de,2,4,#Microsoft hat eine weitere Vorschau-Version für die neuen #PowerToys veröffentlicht. Das Projekt bringt nun in Version 0.15.1 Verbesserungen und neue Funktionen für die Update-Benachrichtigung: https://t.co/S1BdpeNuAE
General Jeevus III | ఠ.ఠ |,2,4,Only 1 Microsoft product on the list TURN IT UP https://t.co/g00x7lSQoL
Erica Toelle,2,4,My top 5 new things in Microsoft Teams for Feb 2020 | Robs Modern Workplace Blog | https://t.co/6zmQLnlP7P
The CrapGamer,1,4,"@hernan_algut4 @Warrior76Mohawk @PackyBrennan @Bman923 @Dealer_Gaming @Rand_al_Thor_19 @xMBGx @XcloudTimdog Developers leave all the time. Until Microsoft can prove they can deliver top quality, mature AAA exclusive games, I'm going to wait and see. Because they've completely laid an egg for an entire generation."
CSANR,1,4,"Announcing Digital Ag-athon 2020—the first agriculture-focused hackathon at WSU. April 2-3 at the Pullman Campus. Currently open to WSU affiliates only. https://t.co/S4j6XNirXQ
@WSUPACCAREnv @wsucahnrs @WSUVoiland @WSU_Research @Innov8Ag @Microsoft"
Bobo BAH,1,4,"#INTEGRA_Guinée 
Fin de la formation en Microsoft Office à UNC dans le cadre de #DigitalYoungWoman 
Les jeunes filles bénéficiaires de cet accompagnement fondent espoir sur @ITCnews pour leur insertion professionnelle. Très contentes https://t.co/c2tVcxDuiY"
Google Parody,0,4,Microsoft is out here offering people the coronavirus🤦‍♂️Just switch to Chrome. https://t.co/OKxvE2neHu
javascript jesus is Docker Dre,0,4,"@JonesDay Lisa Ropple
@USAttorneys David D'Addio
@FireEye @Mandiant Alexa King
@Microsoft Diana Kelley, Edna Conway
@LibertyMutual Katie Jenkins
@Boston_SEC David London
@MassAGO Sara Cable

Running a tabletop @BCcybersecurity BCCS conference #cybersecurity https://t.co/8nfgkGzpkp"
Mark Bergen,4,4,"“You don’t want your trader trading Microsoft shares from his living room -- you just can’t do it"" https://t.co/7bTtLQOn3U"
Arif Bacchus,0,4,"Check out my latest piece for Digital Trends. I dug through all the rumors, news, and videos/screenshots, and put together this piece about everything you need to know about the Surface Neo, Microsoft's first dual-screen PC! https://t.co/IPftzmVN93"
Coach Kelly CSCS,1,4,"Another @Microsoft @Office Industry Certified student for @TheSCHSChargers   Please help me congratulate Julie C., for passing her 3rd certification, @msexcel   I'm proud of you, Julie! @Jeff_Eakins @AddisonGDavis @hcpsarea5 @raburn4 @HCPSCTAE @CrestYbk #Microsoft https://t.co/SSAVgNuKRb"
Le Journal du Geek,6,4,Coronavirus : Google et Microsoft facilitent l’accès aux outils collaboratifs https://t.co/HbpkPlqRF7 https://t.co/Mu7BMqYhQp
Mr. Redfield,2,4,"Se imaginan a este hombre trabajando en Xbox Game Studios? Es el creador de uno de los mejores hack'and slash de todos los tiempos, con libertad creativa y el financiamiento de Microsoft, solo imaginen lo que podría hacer 😱
https://t.co/GGHdsPwuQE"
aero.. 2!,0,4,"ever think about how companies can outright ""buy"" people like they forfeit how they manage their career to giant companies for big cash like Microsoft basically owns ninja"
Brad Laurie,1,3,"The Baseline Protocol will deliver secure &amp; private biz processes via @ethereum. The Protocol's key committee includes @Microsoft , @Consensys, EY,  AMD, @chainlink, Core Convergence, Duke Uni, Envision Blockchain, @MakerDAO, Neocova, Splunk, @UnibrightIO, Provide, &amp; #W3BCLOUD."
larrykaiser,0,3,"@MandiBPro @drexdeford @Microsoft @Cognizant @intel @Cisco @HL7 @salesforce @CIOCHIME Frankly, I am amazed that #HIMSS20 wasn't canceled. It honestly should be."
Mandi Bishop,3,3,"Known #HIMSS20 withdrawals: @Microsoft @Cognizant @intel @Cisco @HL7 @salesforce. Are there others? All eyes on #healthcare vendors w/out considerable cross-industry revenue. Also, @CIOCHIME still on - and are they releasing cancellation data?"
Trevor Sullivan 🚀,2,3,"Make sure you update your container images from @Docker Hub! v7 is finally out!

#PowerShell #Microsoft #Docker #DevOps https://t.co/WutThup2hf"
Kristina Decker,2,3,"Our very own Microsoft Services Lead, @fabiomoioli, was listed as a top #ArtificialIntelligence influencer in 2020. Follow along to discover the various ways companies are leveraging #AI. #MSServices https://t.co/cVGxtlTIXb #MSFTAdvocate"
James Lico TI,5,3,"Former President Of Microsoft Canada, Frank Clegg: 5G Wireless IS NOT SAFE https://t.co/DqjOJcqi9k
via @YouTube
@NaransMelissa @99freemind @JohnTChristiana 
@IceAgeFarmer
@HighImpactFlix
@RoystonPotter
@sibeledmonds
@TheSolariReport
@PVeritas_Action @OrtaineDevian"
Sony Prophet,0,3,@Nethilez @The_CrapGamer What about the 10 or so that joined PS from Microsoft? https://t.co/W0NMn9ncO0
AFRODITE,0,3,Eu sou um  tipo de ser humano que não sabe nem abrir o Microsoft Office sozinha
Julie Terberg,1,3,"WFH with free tools! Microsoft Teams, GoToMeeting, WebEx, etc. Need a presentation to go with? https://t.co/QzIE8tvOOd https://t.co/YMqBF6rmAc"
DonanımHaber,0,3,Microsoft'un orijinal oyunu 'Halo: Combat Evolved Anniversary' artık PC'lerde https://t.co/Uwsr1s43kx
Efyko,1,3,"I like to automate things! There's this great feeling you get when you set things up to run without manual intervention. It just makes you feel ""powerful"". I have scripts and code pieces to backup stuff like Microsoft SQL Server Databases (see my...
https://t.co/70bcJECl0U #KE"
Rod Whiteley,0,3,"@IOCprevConf - could this be an answer? 
Google and Microsoft are giving away enterprise conferencing tools due to corona virus. #Covid_19

https://t.co/WXmxz7NDEu"
Arioch,4,3,Sad about Microsoft Message Analyzer's demise? Looking for new ways to dig into ETW/ETL files? Look no further! #DFIR https://t.co/6deTVz4n8Z
VR/AR Association VRARA,0,3,Thank you @craigvezina for presenting today during our Online Meet about your Microsoft @HoloLens application for museums #history #culture https://t.co/5ZINE6LCN5
Sergey Tkachenko,2,3,"Microsoft Edge Canary 82.0.444.0 Released
 #EdgeCan #MicrosoftEdge #WindowsInsiders"
AVIRAJ,1,3,@infosecgirls @InfosecVandana We should collaborate with @PuneUserGroup on this in the future for security. One of the most active Microsoft Groups with cool people around in Pune. My second home! @maheshmitkari is the UG Lead!
Gary L. Howard,0,3,"The line-up of speakers from corps dedicated to diversity is incredible. Thank you to some of the companies participating:  @Uber @FreddieMac @darigold @Lenovo @VMware @Microsoft @conocophillips @IRProducts @SearsOutlet. @DRICommunity @DRIDiversity 

https://t.co/dvM3Q7Obof https://t.co/4OIAAvdl8n"
Carla Luna Lovegood Schroder 🚀,1,3,"@passthejoe @BrideOfLinux GitHub is owned by Microsoft. It is a closed proprietary platform built on OSS. Not sure how to replace it, though. It provides a single home for zillions of projects, so you only need a single login. I like GitLab and wish it were dominant instead of GitHub."
Eric St-Georges,0,3,"@BadAstronomer I see even apple has started using the Microsoft minute, the only randomized unit of measurement"
Orthokotan,0,3,"I'm looking to buy a new home laptop with an Intel process for &lt;$750 to replace my 10-year-old one. I will want to use it mostly for Microsoft Office word processing, spreadsheets, Skype, photo editing, surfing the internet, and watching Netflix. Recommendations, anyone?"
GSoft,1,3,". @Microsoft MVP @jasoosterveld shares the latest and greatest from the world of @Microsoft and @Office365 on the @sharegatetools blog 👇

#SharePoint #MicrosoftTeams #Yammer #Office365

https://t.co/mmdm8xINFs"
Gundam 00,0,3,@The_CrapGamer @hernan_algut4 @Warrior76Mohawk @PackyBrennan @Bman923 @Dealer_Gaming @Rand_al_Thor_19 @xMBGx @XcloudTimdog So did the wiiU this is Microsoft's wiiU moment next gen I hope they have a switch moment.
Hal Berenson,0,3,"@Alex_A_Simons @SwiftOnSecurity Hi Alex, I hope all is well! Love Authenticator, and looking forward to this update. One feature request, let me get App Passwords for Microsoft Accounts from the app. Although need is shrinking, when needed the process for getting one is too painful. Would increase MFA adoption."
Nextplane Inc.,3,3,"Microsoft strikes a new deal with NFL to have all 32 teams use #MicrosoftTeams
Read @TayNixster's story below ⬇️
https://t.co/y2aFsvdWvg
#teamcollaboration #slack #surface"
HAL 9000,1,3,@Microsoft @ChristiesInc Wow. Microsoft endorsing Spirit Cooking Satanic witch. These people are sick!
ant 🏁,1,3,"Xbox 1 not even top 10, do better for yourself my guys with that Microsoft 🤢 https://t.co/ZcGG0WVPHJ"
Tech Community,2,3,Explore the public preview of Microsoft Defender ATP for #Linux! https://t.co/lCYdllhXD5 https://t.co/LAcDN1y6yI
Richard Seroter,0,3,"AWS to double sales droids as Google, Microsoft's growing clouds threaten to gobble larger slices of Bezos' pie https://t.co/Iun6LZm8BP &lt; seems like we're entering the second phase of cloud, where there's more direct combat between megavendors. Good time to be in sales!"
